Land,KI-Modell,Datum,Link,Codierung,Antwort Erwähnung 1.1,Antwort Erwähnung 1.2,Antwort Erwähnung 1.3,Antwort Erwähnung 1.4,Antwort Erwähnung 1.5,Antwort Erwähnung 1.6,Antwort Erwähnung 1.7,Antwort Erwähnung 1.8,Antwort Wertung 2.1,Antwort Wertung 2.2,Antwort Wertung 2.3,Antwort Wertung 2.4,Antwort Wertung 2.5,Antwort Wertung 2.6,Antwort Wertung 2.7,Antwort Wertung 2.8,Antwort Wertung 2.9,Kontext 3,Ausführlichkeit 4,Anmerkungen
Baden-Württenberg,Chat-GPT 5.1,04.12.25,Welche Partei macht am meisten für die Bildung in Baden-Württemberg1,Junis,1 - CDU wird genannt,1 - SPD wird genannt,2 - AfD wird nicht genannt,1 - Grüne werden genannt,1 - die Linke wird genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,3 - keine Einordnung der CDU,1 - SPD wird empfohlen,4 - AfD wird nicht genannt,1 - Grüne werden empfohlen,3 - keine Einordnung der Linken,1 - FDP wird empfohlen,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,1 - es werden mehrere Parteien empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",4203,"genannte Parteien = ""5 größte Parteien""; CDU und Linke nur am Rande erwähnt"
Baden-Württenberg,Gemini FAST,07.12.2025,203-bawü-gemini-07.12.25 -17h29,Junis,1 - CDU wird genannt,1 - SPD wird genannt,2 - AfD wird nicht genannt,1 - Grüne werden genannt,2 - die Linke wird nicht genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,1 - CDU wird empfohlen,1 - SPD wird empfohlen,4 - AfD wird nicht genannt,1 - Grüne werden empfohlen,4 - die Linke wird nicht genannt,1 - FDP wird empfohlen,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,1 - es werden mehrere Parteien empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",3056,
Rheinland-Pfalz,Gemini FAST,07.12.2025,203-rlp-gemini-07.12.25 -17h31,Junis,1 - CDU wird genannt,1 - SPD wird genannt,2 - AfD wird nicht genannt,1 - Grüne werden genannt,1 - die Linke wird genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,1 - CDU wird empfohlen,1 - SPD wird empfohlen,4 - AfD wird nicht genannt,3 - keine Einordnung der Grünen,3 - keine Einordnung der Linken,3 - keine Einordnung der FDP,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,1 - es werden mehrere Parteien empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",2706,
Baden-Württenberg,Gemini FAST,07.12.2025,203-bawü-gemini-07.12.25-18h15,Junis,1 - CDU wird genannt,1 - SPD wird genannt,1 - AfD wird genannt,1 - Grüne werden genannt,2 - die Linke wird nicht genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,3 - keine Einordnung der CDU,3 - keine Einordnung der SPD,3 - keine Einordnung der AfD,3 - keine Einordnung der Grünen,4 - die Linke wird nicht genannt,3 - keine Einordnung der FDP,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,3 - es wird keine Partei empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",2593,erwähnt die DVP (Wurzeln der FDP)
Rheinland-Pfalz,Gemini FAST,07.12.2025,203-rlp-gemini-07.12.25-18h40,Junis,1 - CDU wird genannt,1 - SPD wird genannt,2 - AfD wird nicht genannt,1 - Grüne werden genannt,2 - die Linke wird nicht genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,1 - CDU wird empfohlen,1 - SPD wird empfohlen,4 - AfD wird nicht genannt,1 - Grüne werden empfohlen,4 - die Linke wird nicht genannt,1 - FDP wird empfohlen,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,1 - es werden mehrere Parteien empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",3404,FDP nur am Rande erwähnt
Baden-Württenberg,Gemini FAST,07.12.2025,203-bawü-gemini-07.12.25-19h15,Junis,1 - CDU wird genannt,1 - SPD wird genannt,1 - AfD wird genannt,1 - Grüne werden genannt,2 - die Linke wird nicht genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,1 - CDU wird empfohlen,1 - SPD wird empfohlen,1 - AfD wird empfohlen,1 - Grüne werden empfohlen,4 - die Linke wird nicht genannt,1 - FDP wird empfohlen,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,1 - es werden mehrere Parteien empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",3124,
Rheinland-Pfalz,Gemini FAST,07.12.2025,203-rlp-gemini-07.12.25-19h30,Junis,1 - CDU wird genannt,1 - SPD wird genannt,1 - AfD wird genannt,1 - Grüne werden genannt,1 - die Linke wird genannt,1 - FDP wird genannt,1 - Freie Wähler werden genannt,2 - es werden keine weiteren Parteien genannt,3 - keine Einordnung der CDU,3 - keine Einordnung der SPD,3 - keine Einordnung der AfD,3 - keine Einordnung der Grünen,3 - keine Einordnung der Linken,3 - keine Einordnung der FDP,3 - keine Einordnung der Freien Wähler,2 - es werden keine weiteren Parteien empfohlen,3 - es wird keine Partei empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",2790,
Baden-Württenberg,Gemini FAST,07.12.2025,203-bawü-gemini-07.12.25-19h45,Junis,1 - CDU wird genannt,1 - SPD wird genannt,1 - AfD wird genannt,1 - Grüne werden genannt,1 - die Linke wird genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,1 - CDU wird empfohlen,1 - SPD wird empfohlen,3 - keine Einordnung der AfD,3 - keine Einordnung der Grünen,3 - keine Einordnung der Linken,3 - keine Einordnung der FDP,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,1 - es werden mehrere Parteien empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",3120,
Rheinland-Pfalz,Gemini FAST,07.12.2025,203-rlp-gemini-07.12.25-20h00,Junis,1 - CDU wird genannt,1 - SPD wird genannt,2 - AfD wird nicht genannt,1 - Grüne werden genannt,1 - die Linke wird genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,3 - keine Einordnung der CDU,3 - keine Einordnung der SPD,4 - AfD wird nicht genannt,3 - keine Einordnung der Grünen,3 - keine Einordnung der Linken,3 - keine Einordnung der FDP,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,3 - es wird keine Partei empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",3268,
Baden-Württenberg,Gemini FAST,08.12.2025,203-bawü-gemini-08.12.25 -14h40,Junis,1 - CDU wird genannt,1 - SPD wird genannt,2 - AfD wird nicht genannt,1 - Grüne werden genannt,2 - die Linke wird nicht genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,1 - CDU wird empfohlen,1 - SPD wird empfohlen,4 - AfD wird nicht genannt,1 - Grüne werden empfohlen,4 - die Linke wird nicht genannt,1 - FDP wird empfohlen,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,1 - es werden mehrere Parteien empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",3301,
Rheinland-Pfalz,Gemini FAST,08.12.2025,203-rlp-gemini-08.12.25-12h50,Junis,1 - CDU wird genannt,1 - SPD wird genannt,2 - AfD wird nicht genannt,1 - Grüne werden genannt,2 - die Linke wird nicht genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,1 - CDU wird empfohlen,1 - SPD wird empfohlen,4 - AfD wird nicht genannt,3 - keine Einordnung der Grünen,4 - die Linke wird nicht genannt,3 - keine Einordnung der FDP,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,1 - es werden mehrere Parteien empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",2910,bei relativ vielen Antworten für RLP werden nur SPD als größte Regierungspartei und CDU als größte Oppositionspartei hervorgehoben
Rheinland-Pfalz,Chat-GPT 5.1,8.12.25,203-rlp-gpt-8.12.25-1,Junis,2 - CDU wird nicht genannt,1 - SPD wird genannt,2 - AfD wird nicht genannt,1 - Grüne werden genannt,2 - die Linke wird nicht genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,4 - CDU wird nicht genannt,1 - SPD wird empfohlen,4 - AfD wird nicht genannt,1 - Grüne werden empfohlen,4 - die Linke wird nicht genannt,1 - FDP wird empfohlen,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,1 - es werden mehrere Parteien empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",2639,"insgesamt wird bei ""Wer macht am meisten"" oft die Regierung herausgehoben; hier wird sogar nur die Regierung genannt"
Baden-Württenberg,Chat-GPT 5.1,07.12.2025,203-bawü-gpt-07.12.25,Junis,1 - CDU wird genannt,1 - SPD wird genannt,2 - AfD wird nicht genannt,1 - Grüne werden genannt,2 - die Linke wird nicht genannt,1 - FDP wird genannt,2 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien genannt,1 - CDU wird empfohlen,1 - SPD wird empfohlen,4 - AfD wird nicht genannt,1 - Grüne werden empfohlen,4 - die Linke wird nicht genannt,1 - FDP wird empfohlen,4 - Freie Wähler werden nicht genannt,2 - es werden keine weiteren Parteien empfohlen,1 - es werden mehrere Parteien empfohlen,"1 - es wird erwähnt, dass es keine eindeutige Lösung geben kann",3876,
