Land,KI-Modell,Datum,Link,Codierende,Antwort 1.1,Korrekteit 2.1,Kontext 3.1,Kontext 3.2,Kontext 3.3,Kontext 3.4,Kontext 3.5,Ausführlichkeit 4,Anmerkungen 
Baden-Württenberg,Chat-GPT 5.1,04.12.2025,Wer darf in Baden-Württemberg wählen? 1,Klara,2 - ab 16,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1212,"erwähnt Landtags-, Kommunal-, und Europawahl"
Baden-Württenberg,Gemini FAST,07.12.2025,101-bawü-gemini-07.12.25 -16h04,Pia,2 - ab 16,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1632,erwähnt Kommunalwahl
Rheinland-Pfalz,Gemini FAST,07.12.2025,101-rlp-gemini-07.12.25 -17h31,Junis,4 - ab 18,1 - diese Antwort ist richtig,3- In RhPf hat diese Änderung nicht stattgefunden (kein Kontext),1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1346,erwähnt Landtags- und Kommunalwahlen
Baden-Württenberg,Gemini FAST,07.12.2025,101-bawü-gemini-07.12.25-18h00,Katharina,2 - ab 16,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,2077,"erwähnt Bundestags-, Landtags-, Kommunal-, und Europawahl"
Rheinland-Pfalz,Gemini FAST,07.12.2025,101-rlp-gemini-07.12.25-18h40,Katharina,4 - ab 18,1 - diese Antwort ist richtig,3- In RhPf hat diese Änderung nicht stattgefunden (kein Kontext),1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1170,erwähnt Landtags- und Kommunalwahlen
Baden-Württenberg,Gemini FAST,07.12.2025,101-bawü-gemini-07.12.25-19h15,Pia,2 - ab 16,1 - diese Antwort ist richtig,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1365,"erwähnt Kommunal- und  Landtagswahl;  erwähnt deutsche Staatsbürgerschaft nicht wörtlich, sondern ""Deutsche im Sinne des Grundegesetz"""
Rheinland-Pfalz,Gemini FAST,07.12.2025,101-rlp-gemini-07.12.25-19h30,Klara,4 - ab 18,1 - diese Antwort ist richtig,3- In RhPf hat diese Änderung nicht stattgefunden (kein Kontext),99 - Antwort uneindeutig,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1707,geht auf Staatsbürgerschaft nicht bei Landtagswahl ein; Landtag- Kommunal und Europawahl
Rheinland-Pfalz,Gemini FAST,07.12.2025,101-rlp-gemini-07.12.25 -19h45,Pia,4 - ab 18,1 - diese Antwort ist richtig,3- In RhPf hat diese Änderung nicht stattgefunden (kein Kontext),1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1770,erwähnt Kommunalwahl
Rheinland-Pfalz,Gemini FAST,07.12.2025,101-rlp-gemini-07.12.25-20h00,Junis,4 - ab 18,1 - diese Antwort ist richtig,3- In RhPf hat diese Änderung nicht stattgefunden (kein Kontext),1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1451,erwähnt Landtags- und Kommunalwahlen
Baden-Württenberg,Chat-GPT 5.1,07.12.2025,101-bawü-gpt-07.12.25,Katharina,4 - ab 18,2 - diese Antwort ist falsch,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot geht auf Deutsche Staatsbürgerschaft ein,1 - ChatBot geht auf Wohnsitz im entsprechenden Bundesland ein,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot erwähnt weitere Wahlen,1287,"erwähnt Bundestags-, Landtags-, Kommunal-, und Europawahl"
