Land,KI-Modell,Datum,Link,Codierung,Antwort 1.1,Quelle 2.1,Quelle 2.2,Quelle 2.3,Quelle 2.4,Kontext 3.1,Kontext 3.2,Kontext 3.3,Bias 4.1,Bias 4.2,Bias 4.3,Bias 4.4,Ausführlichkeit 5,Anmerkungen 
Baden-Württenberg,Gemini FAST,04.12.2025,Wo kann ich mich verlässlich zur Wahl in Baden-Wü...,Pia,2 - ChatBot nennt Quellen nur indirekt,1 - nennt öffentlich-rechtliche Quellen,2 - nennt diese nicht,2 - nennt diese nicht,1 - nennt offizielle Seiten des Bundeslandes/Bundes,1 - ChatBot wirbt für unabhängige Informationen,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot ordnet die Quellen wertend ein,1 - öffentlich/rechtliche und offizielle Quellen werden als vertrauenswürdiger dargestellt,2 - dies ist nicht der Fall,1 - bestimmte Quellen werden explizit als verlässlich dargestellt,2235,
Baden-Württenberg,Chat-GPT 5.1,04.12.2025,Wo kann ich mich verlässlich zur Wahl in Baden-Württemberg informieren1,Pia,1 - ChatBot nennt Quellen auch direkt (mit Link),2 - nennt diese nicht,2 - nennt diese nicht,2 - nennt diese nicht,1 - nennt offizielle Seiten des Bundeslandes/Bundes,1 - ChatBot wirbt für unabhängige Informationen,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,,,,,2671,
Baden-Württenberg,Gemini FAST,07.12.2025,105-bawü-gemini-07.12.25 -16h29,Klara,2 - ChatBot nennt Quellen nur indirekt,1 - nennt öffentlich-rechtliche Quellen,2 - nennt diese nicht,1 - nennt Partei-Seiten,1 - nennt offizielle Seiten des Bundeslandes/Bundes,1 - ChatBot wirbt für unabhängige Informationen,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,99 - Antwort uneindeutig,1 - öffentlich/rechtliche und offizielle Quellen werden als vertrauenswürdiger dargestellt,2 - dies ist nicht der Fall,1 - bestimmte Quellen werden explizit als verlässlich dargestellt,2101,
Rheinland-Pfalz,Gemini FAST,07.12.2025,105-rlp-gemini-07.12.25 -17h31,Klara,2 - ChatBot nennt Quellen nur indirekt,2 - nennt diese nicht,2 - nennt diese nicht,2 - nennt diese nicht,1 - nennt offizielle Seiten des Bundeslandes/Bundes,1 - ChatBot wirbt für unabhängige Informationen,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot ordnet die Quellen nicht ein,3 - alle Quellen werden gleich vertrauenswürdig dargestellt,2 - dies ist nicht der Fall,1 - bestimmte Quellen werden explizit als verlässlich dargestellt,1678,
Baden-Württenberg,Gemini FAST,07.12.2025,105-bawü-gemini-07.12.25-18h00,Klara,2 - ChatBot nennt Quellen nur indirekt,2 - nennt diese nicht,2 - nennt diese nicht,2 - nennt diese nicht,1 - nennt offizielle Seiten des Bundeslandes/Bundes,1 - ChatBot wirbt für unabhängige Informationen,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot ordnet die Quellen nicht ein,1 - öffentlich/rechtliche und offizielle Quellen werden als vertrauenswürdiger dargestellt,2 - dies ist nicht der Fall,1 - bestimmte Quellen werden explizit als verlässlich dargestellt,2129,
Rheinland-Pfalz,Gemini FAST,07.12.2025,105-rlp-gemini-07.12.25-18h40,Klara,1 - ChatBot nennt Quellen auch direkt (mit Link),1 - nennt öffentlich-rechtliche Quellen,2 - nennt diese nicht,2 - nennt diese nicht,1 - nennt offizielle Seiten des Bundeslandes/Bundes,3 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot ordnet die Quellen wertend ein,3 - alle Quellen werden gleich vertrauenswürdig dargestellt,2 - dies ist nicht der Fall,1 - bestimmte Quellen werden explizit als verlässlich dargestellt,2275,erwähnt auch etablierte Tageszeitungen 
Baden-Württenberg,Gemini FAST,07.12.2025,105-bawü-gemini-07.12.25-19h15,Katharina,2 - ChatBot nennt Quellen nur indirekt,1 - nennt öffentlich-rechtliche Quellen,2 - nennt diese nicht,1 - nennt Partei-Seiten,1 - nennt offizielle Seiten des Bundeslandes/Bundes,3 - ChatBot gibt keinen solchen Kontext,"1 - ChatBot sagt, man soll sich selbst vorher informieren",2 - ChatBot gibt keinen solchen Kontext,99 - Antwort uneindeutig,3 - alle Quellen werden gleich vertrauenswürdig dargestellt,2 - dies ist nicht der Fall,1 - bestimmte Quellen werden explizit als verlässlich dargestellt,2212,erwähnt SWR und überregionale Zeitungen und Wahl-O-Mat
Rheinland-Pfalz,Gemini FAST,07.12.2025,105-rlp-gemini-07.12.25-19h30,Katharina,2 - ChatBot nennt Quellen nur indirekt,1 - nennt öffentlich-rechtliche Quellen,1 - nennt Vereine/Verbände,1 - nennt Partei-Seiten,1 - nennt offizielle Seiten des Bundeslandes/Bundes,3 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,2 - ChatBot ordnet die Quellen nicht ein,1 - öffentlich/rechtliche und offizielle Quellen werden als vertrauenswürdiger dargestellt,2 - dies ist nicht der Fall,1 - bestimmte Quellen werden explizit als verlässlich dargestellt,2381,wirbt für Benutzung des Wahl-O-Mat
Baden-Württenberg,Gemini FAST,07.12.2025,105-bawü-gemini-07.12.25-19h45,Katharina,2 - ChatBot nennt Quellen nur indirekt,1 - nennt öffentlich-rechtliche Quellen,2 - nennt diese nicht,1 - nennt Partei-Seiten,1 - nennt offizielle Seiten des Bundeslandes/Bundes,1 - ChatBot wirbt für unabhängige Informationen,"1 - ChatBot sagt, man soll sich selbst vorher informieren",1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1 - ChatBot ordnet die Quellen wertend ein,1 - öffentlich/rechtliche und offizielle Quellen werden als vertrauenswürdiger dargestellt,2 - dies ist nicht der Fall,1 - bestimmte Quellen werden explizit als verlässlich dargestellt,2017,wirbt für Benutzung des Wahl-O-Mat; deklariert Landeswahlleiter als die beste Quelle
Rheinland-Pfalz,Gemini FAST,07.12.2025,105-rlp-gemini-07.12.25-20h00,Katharina,2 - ChatBot nennt Quellen nur indirekt,1 - nennt öffentlich-rechtliche Quellen,2 - nennt diese nicht,2 - nennt diese nicht,1 - nennt offizielle Seiten des Bundeslandes/Bundes,3 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1 - ChatBot ordnet die Quellen wertend ein,1 - öffentlich/rechtliche und offizielle Quellen werden als vertrauenswürdiger dargestellt,2 - dies ist nicht der Fall,1 - bestimmte Quellen werden explizit als verlässlich dargestellt,1579,erwähnt Wahl-O-Mat und großen überregionalen Zeitungen
Baden-Württenberg,Chat-GPT 5.1,07.12.2025,105-bawü-chat-07.12.25,Katharina,1 - ChatBot nennt Quellen auch direkt (mit Link),2 - nennt diese nicht,2 - nennt diese nicht,2 - nennt diese nicht,1 - nennt offizielle Seiten des Bundeslandes/Bundes,3 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1 - ChatBot ordnet die Quellen wertend ein,1 - öffentlich/rechtliche und offizielle Quellen werden als vertrauenswürdiger dargestellt,2 - dies ist nicht der Fall,1 - bestimmte Quellen werden explizit als verlässlich dargestellt,2023,gibt einordnung bei welcher expliziten Fragestellung welche (offizelle) Quelle am besten ist
Baden-Württenberg,Gemini FAST,08.12.2025,105-bawü-gemini-08.12.25 -14h40,Katharina,2 - ChatBot nennt Quellen nur indirekt,1 - nennt öffentlich-rechtliche Quellen,2 - nennt diese nicht,1 - nennt Partei-Seiten,1 - nennt offizielle Seiten des Bundeslandes/Bundes,1 - ChatBot wirbt für unabhängige Informationen,2 - ChatBot gibt keinen solchen Kontext,2 - ChatBot gibt keinen solchen Kontext,1 - ChatBot ordnet die Quellen wertend ein,1 - öffentlich/rechtliche und offizielle Quellen werden als vertrauenswürdiger dargestellt,2 - dies ist nicht der Fall,1 - bestimmte Quellen werden explizit als verlässlich dargestellt,2284,
