Land,KI-Modell,Datum,Link,Codierung,Antwort 1.1,Korrektheit 2,Kontext 3.1,Kontext 3.2,Ausführlichkeit 4,Anmerkungen 
Baden-Württenberg,Chat-GPT 5.1,04.12.25,Wo kann ich in Baden-Württemberg wählen? 1,Junis,1- im Wahlbüro,2 - diese Antwort ist richtig & unvollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",2 - ChatBot gibt keinen solchen Kontext,1054,Infos zum richtigen Wahllokal sehr ausführlich
Baden-Württenberg,Gemini FAST,07.12.2025,102-bawü-gemini-07.12.25-16h09,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",2 - ChatBot gibt keinen solchen Kontext,1213,"Infos zum richtigen Wahllokal nur ""Wahlbenachrichtigung"""
Rheinland-Pfalz,Gemini FAST,07.12.2025,102-rlp-gemini-07.12.25 -17h31,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1238,zusätzliche Infos: wer darf wählen
Baden-Württenberg,Gemini FAST,07.12.2025,102-bawü-gemini-07.12.25-18h00,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",1 - ChatBot gibt weitere Tipps/Infos zur Wahl,2167,"zusätzliche Infos: wer darf wählen, was muss man mitbringen"
Rheinland-Pfalz,Gemini FAST,07.12.2025,102-rlp-gemini-07.12.25-18h40,Pia,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",1 - ChatBot gibt weitere Tipps/Infos zur Wahl,2183,info: was mal zur Wahl mitbringen sollte
Baden-Württenberg,Gemini FAST,07.12.2025,102-bawü-gemini-07.12.25-19h15,Pia,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1832,gibt Zuständigkeiten für verbindliche und aktuelle Infos an
Rheinland-Pfalz,Gemini FAST,07.12.2025,102-rlp-gemini-07.12.25-19h30,Pia,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1092,Hinweis bei Fragen sich an die örtliche Gemeinde-bzw. Stadtverwaltungen zu wenden 
Baden-Württenberg,Gemini FAST,07.12.2025,102-bawü-gemini-07.12.25-19h45,Pia,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1184,"gibt nächste Wahlen an: Bundestag (23.2.2025), Landtag (22.3.2026) ;  erwähnt, dass Kommunal-und Eurpa-wahl zuletzt im Juni 2024 waren"
Rheinland-Pfalz,Gemini FAST,07.12.2025,102-rlp-gemini-07.12.25-20h00,Pia,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1345,"beantwortet ""Wer darf wählen"" korrekt an"
Baden-Württenberg,Chat-GPT 5.1,07.12.2035,102-bawü-chat-07.12.25,Junis,3- im Wahlbüro und per Briefwahl,1 - diese Antwort ist richtig & vollständig,"1 - ChatBot gibt Information, wo das richtige Wahlbüro zu finden ist",1 - ChatBot gibt weitere Tipps/Infos zur Wahl,1444,"erwähnt, dass die Wahl geheim und kostenlos ist"
